siteName,regex,matchName
Aby,\bAby\b,Aby
Aby,Mother Wood,Mother Wood
Aby,Swinn Wood,Swinn Wood
Addlethorpe,\bAddlethorpe\b,Addlethorpe
Addlethorpe,Ashington End,Ashington End
Ailby,\bAilby\b,Ailby
Aisby (Grantham),^(?!.*(Corringham|Gainsborough)).*\bAisby\b,Aisby - Grantham
Aisthorpe,\bAisthorpe\b,Aisthorpe
Alford,^(?!.*(Beesby|Thurlby|Ulceby)).*\bAlford\b,Alford
Algarkirk,\bAlgar?kirk\b,Algarkirk
Algarkirk,Walnut Lakes?,Walnut Lakes
Alkborough,^(?!.*Walcot).*\bAl+kb?orough\b,Alkborough
Alkborough,Trent Falls,Trent Falls
Allington,\bAllington\b,Allington
Althorpe,\bAlthorpe\b,Althorpe
Althorpe,\bDerrythorpe\b,Derrythorpe
Althorpe,North Moor,North Moor - Isle of Axholme
Alvingham,\bAlvingham\b,Alvingham
Amber Hill,Amber Hill,Amber Hill
Amcotts,\bAmcotts\b,Amcotts
Ancaster,\bAncaster\b,Ancaster
Ancaster,Copper Hill,Copper Hill  Ancaster
Ancaster,Moor Closes,Moor Closes
Ancaster,\bSudbrook\b,Sudbrook - Ancaster
Ancaster,West Willoughby,West Willoughby
Anderby,^(?!.*Marsh.*)\bAnderby\b,Anderby
Chapel Pit and Six Marshes,Chapel Pits?,Chapel Pit
Chapel Pit and Six Marshes,Chapel (Six|6) Marsh(es)?,Chapel Six Marshes
Anderby Marsh with Wolla Bank and Pit,Wolla (Bank|Pit),Wolla Bank
Antons Gowt,Anton[’']?s Gowt,Anton's Gowt
Antons Gowt,Frith Bank,Frith Bank
Anwick,^(?!.*Fen).*\bAnwick\b.*,Anwick
Anwick,Cobblers Lock,Cobblers Lock
Apley,Camshaw'?s Plantation,Camshaw's Plantation
Apley,College Wood,College Wood
Apley,\bKingthorpe\b,Kingthorpe
Apley,\bApley\b,Low Apley
Appleby,\bAppleby\b,Appleby
Appleby,Keb Wood,Keb Wood
Appleby,Rowland Plantation,Rowland Plantation
Appleby,\bSanton\b,Santon
Appleby,Yarborough (Quarry|Warren),Yarborough QuarryWarren
Asgarby nr Sleaford,\bAsgarby\b,Asgarby
Ashby by Partney,Ashby by Partney,Ashby by Partney
Ashby cum Fenby,Ashby cum Fenby,Ashby cum Fenby
Ashby de la Launde,Ashby de la Launde,Ashby de la Launde
Ashby Puerorum,Ashby Puerorum,Ashby Puerorum
Ashby Puerorum,\bHolbeck\b,Holbeck
Aslackby,\bAslackby\b,Aslackby
Asserby,\bAsserby\b,Asserby
Asterby,\bAsterby\b,Asterby
Asterby,Red Hill,Red Hill LWT NR
Aswarby,\bAswarby\b,Aswarby
Aswardby,\bAswardby\b,Aswardby
Aubourn,\bAubourn\b,Aubourn
Aubourn,Blackmoor Bridge,Blackmoor Bridge
Aunby,\bAunby\b,Aunby
Aunsby,\bAunsby\b,Aunsby
Authorpe,\bAuthorpe\b,Authorpe
Aylesby,\bAylesby\b,Aylesby
Bag Enderby,Bag Enderby,Bag Enderby
Bagmoor,\bBagmoor\b,Bagmoor
Bagmoor,Winterton Floods,Bagmoor/Winterton Floods
Bardney,Arnold'?s Pond,Arnold's Pond
Bardney,Austacre Wood,Austacre Wood
Bardney,^(?!.*Stainfield).*\bBardney\b,Bardney
Bardney,Sugar Factory,Bardney Sugar Factory
Bardney,Scotgrove Wood,Scotgrove Wood
Bardney,Snakeholme Pit,"Snakeholme Pit NR , Lincolnshire"
Barholm,\bBarholm\b,Barholm
Barkston,\bBarkston\b,Barkston
Barlings,\bBarlings\b,Barlings
Barlings,Gatecliff Wood,Gatecliff Wood
Barnetby le Wold,\bBarnetby\b,Barnetby
Barnetby le Wold,Barnetby le Wold,Barnetby le Wold
Barnetby le Wold,\bCoskills\b,Coskills
Barnetby le Wold,New Barnetby,New Barnetby
Barnoldby le Beck,Barnoldby le Beck,Barnoldby le Beck
Barrow Haven,Barrow Haven,Barrow Haven
Barrow Haven,West Pit,West Pit
Barrow upon Humber,Barrow Blow Wells,Barrow Blow Wells
Barrow upon Humber,Barrow(-|\s)+upon(-|\s)+Humber,Barrow upon Humber
Barrowby,\bBarrowby\b,Barrowby
Barton upon Humber,(?=.*(Barton))(?=.*(lake|pits?|GPs?)),Barton pits
Barton upon Humber,Barton Reedbed,Barton Reedbed
Barton upon Humber,Barrow to Barton Foreshore,WeBS Barrow to Barton Foreshore
Barton upon Humber,Barton waterside,Barton waterside
Far Ings,Chowder Ness,Chowder Ness
Far Ings,Far Ings,Far Ings
Barton upon Humber,Hoe Hill,Hoe Hill Pits
Barton upon Humber,Humber Bridge,Humber Bridge
Barton upon Humber,\bHumber\b(?=.*(Barton)),Humber@Barton
Barton upon Humber,Island Carr,Island Carr
Barton upon Humber,Pasture Wharf,Pasture Wharf LWT NR
Barton upon Humber,Pit 25,Pit 25
Barton upon Humber,Pursuits (Pit|Centre),Pursuits Pit/Centre
Barton upon Humber,Water Ski,Water Ski Club
Barton upon Humber,Water[`'’]?s'? Edge,Water's Edge CP
Barton upon Humber,Westfield Lakes?,Westfield Lakes
Barton upon Humber,Barton(-|\s)+upon(-|\s)+Humber,Barton upon Humber
Barton upon Humber,Deepdale,Deepdale
Barton upon Humber,\bKingsforth\b,Kingsforth
Bassingham,\bBassingham\b,Bassingham
Bassingham,^(?!.*Broughton).*Brant,Brant River@Bassingham
Bassingham,Marlborough Fen,Marlborough Fen
Bassingham,Wirelocks? farm,Witrelocks Farm
Bassingthorpe,\bBassingthorpe\b,Bassingthorpe
Baston and Langtoft,^(?!.*Fen.*).*\bBaston\b,Baston
Baston and Langtoft,Grummit'?s Scrape,Grummit's Scrape
Baston and Langtoft,Home Farm Caravan Park,Home Farm Caravan Park
Baston Fen,John Ward'?s Corner,WeBS John Ward's Corner - Baston Fen
Baston and Langtoft,Perkins Folly,Perkins Folly
Baston and Langtoft,Thetford,Thetford
Baumber,\bBaumber\b,Baumber Park
Baumber,Hungram Gorse,Hungram Gorse
Baumber,\bLakeside\b,Lakeside Fishery
Baumber,\bStourton\b,Stourton
Beckingham,^(?!.*Fenton).*\bBeckingham\b,Beckingham
Beelsby,\bBeelsby\b,Beelsby
Beesby (Alford),^(?!.*Hawerby).*\bBeesby\b,Beesby - Alford
Belchford,\bBelchford\b,Belchford
Belleau,\bBelleau\b,Belleau
Beltoft,\bBeltoft\b,Beltoft
Belton (Grantham),(Bell?mount |Belton) Tower,Bellmount Tower
Belton (Grantham),^(?!.*(Westgate)).*\bBelton\b,Belton not Belton Park
Belton and Westgate,\bWestgate\b,Belton and Westgate
Benington,\bBenington\b,Benington
Benniworth,\bBenniworth\b,Benniworth
Bicker,\bBicker\b,Bicker
Bigby,\bBigby\b,Bigby
Billingborough,\bBillingborough\b,Billingborough
Billinghay,\bBillinghay\b,Billinghay
Bilsby,\bBilsby\b,Bilsby
Binbrook,^(?!.*(RAF|Airfield)).*\bBinbrook\b,Binbrook (Not RAF)
Binbrook,Scallows,Scallows Hall
Birkholme,\bBirkholme\b,Birkholme
Birkholme,Dodsey Wood,Dodsey Wood
Biscathorpe,Biscathorpe,Biscathorpe
Bishop Norton,\bAtterbyb,Atterby
Bishop Norton,Bishop Norton,Bishop Norton
Bitchfield,\bBitchfield\b,Bitchfield
Bitchfield,Top Camp Wood,Top Camp Wood
Blankney,\bBlan?ke?ney\b,Blankney
Blankney,Green Man Lane,Green Man Lane
Blankney,Green Man Wood,Green Man Wood
Bleasby,Bleasby,Bleasby Moor
Bloxholm,\bBloxholm\b,Bloxholm
Blyborough,\bBlyborough\b,Blyborough
Blyton,\bBlyton\b,Blyton
Blyton,Owlet (Plantation|Wood(land)?),Owlet Plantation
Bonby,\bBonby\b,Bonby
Bonthorpe,\bBonthorpe\b,Bonthorpe
Boothby Graffoe,Boothby Graffoe,Boothby Graffoe
Boothby Graffoe,Boothby Great Wood,Boothby Great Wood
Boothby Graffoe,Boothby Little Wood,Boothby Little Wood
Boothby Pagnell,Boothby Pagnell,Boothby Pagnell
Boothby Pagnell,Ingoldsby Wood,Ingoldsby Wood
Boston,\bBoston\b(?!.*Golf),Boston not Golf Club
Boston,Frith Bank,Frith Bank
Boston,\bHavenside\b,Havenside Country Park
Boston,Witham Way,Witham Way CP
Boultham,Ballast Holes,Ballast Holes
Boultham,\bBoultham\b,Boultham
Boultham,Catchwater drain,Catchwater Drain
Boultham,De\s?Wint Av.*,DeWint Avenue
Boultham,Dixon,Dixon Street
Boultham,Old Decoy,Lincoln - Old Decoy
Boultham,Starmer'?s Pit,Starmer's Pit
Boultham,Swallow Beck,Swallow Beck
Boultham,Swanpool,Swanpool
Bourne,^(?!.*(Little|Manthorpe|Morton|Stainfield|Thurlby)).*(\bBourne\b|\bCawthorpe\b),Bourne
Bourne,^(?!.*Gedney).*\bDyke\b,Dyke
Bourne,Elsea Park,Elsea Park
Bourne,(?=.*(Math))(?=.*(Woods?)),Math Wood
Bourne,Toft Tunnels?,Toft Tunnels
Braceborough,\bBraceborough\b,Braceborough
