common_name, common_name_regex, scientific_name, scientific_name_regex
Pale-bellied Brent Goose,(?=.*(Pale|light)(-|\s)bellied)(?=.*Br(e|a)nt),Branta bernicla hrota,^Branta bernicla hrota
Red-breasted Goose,^Red-breasted Goose$,Branta ruficollis,^Branta ruficollis
Canada Goose,^Canada Goose,Branta canadensis,^Branta canadensis$
Barnacle Goose,^Barnacle Goose$,Branta leucopsis,^Branta leucopsis$
Cackling Goose,^Cackling Goose$,Branta hutchinsii,^Branta hutchinsii
Ross's Goose,^Ross's Goose$,Anser rossii,^Anser rossii
Snow Goose,^Snow Goose$,Anser caerulescens,^Anser caerulescens
Greylag Goose,^Gr(e|a)y\s?lag( Goose)?,Anser anser,^Anser anser
Taiga Bean Goose,^Taiga Bean Goose$,Anser fabalis,^Anser fabalis$
Pink-footed Goose,^Pink-footed Goose$,Anser brachyrhynchus,^Anser brachyrhynchus
Tundra Bean Goose,^Tundra Bean Goose,Anser serrirostris,^Anser serrirostris$
White-fronted Goose,^(Greater ?|European ?| Russian ?)?White(-|\s)fronted Goose,Anser albifrons,^Anser albifrons
Lesser White-fronted Goose,^Lesser White-fronted Goose$,Anser erythropus,^Anser erythropus
Mute Swan,^Mute Swan$,Cygnus olor,^Cygnus olor
Bewick's Swan,^Bewick's Swan$|^Tundra Swan$,Cygnus columbianus,^Cygnus columbianus
Whooper Swan,^Whooper Swan$,Cygnus cygnus,^Cygnus cygnus
Egyptian Goose,^Egyptian Goose$,Alopochen aegyptiaca,^Alopochen aegyptiaca
Shelduck,^Shelduck$|^Common Shelduck$,Tadorna tadorna,^Tadorna tadorna
Ruddy Shelduck,^Ruddy Shelduck$,Tadorna ferruginea,^Tadorna ferruginea
Mandarin Duck,^Mandarin( Duck)?$,Aix galericulata,^Aix galericulata
Baikal Teal,^Baikal Teal$,Sibirionetta formosa,^Sibirionetta formosa
Garganey,^Garganey$,Spatula querquedula,^Spatula querquedula
Blue-winged Teal,^Blue-winged Teal$,Spatula discors,^Spatula discors
Shoveler,^Shoveler$|^Northern Shoveler$,Spatula clypeata,^Spatula clypeata
Gadwall,^Gadwall,Mareca strepera,^Mareca strepera
Falcated Duck,^Falcated Duck$,Mareca falcata,^Mareca falcata
Wigeon,^(Eurasian )?Wigeon,Mareca penelope,^Mareca penelope
American Wigeon,^(American Wigeon),Mareca americana,^Mareca americana
Mallard,^Mallard,Anas platyrhynchos,^Anas platyrhynchos
Black Duck,^Black Duck$|^American Black Duck$,Anas rubripes,^Anas rubripes
Pintail,^(Northern )?Pintail,Anas acuta,^Anas acuta
Teal,^Teal$|^Eurasian Teal$,Anas crecca,^Anas crecca$
Green-winged Teal,^Green-winged Teal$,Anas carolinensis,^Anas carolinensis$
Red-crested Pochard,^Red-crested Pochard$,Netta rufina,^Netta rufina
Canvasback,^Canvasback$,Aythya valisineria,^Aythya valisineria
Redhead,^Redhead$,Aythya americana,^Aythya americana
Pochard,^Pochard$|^Common Pochard$,Aythya ferina,^Aythya ferina
Ferruginous Duck,^Ferruginous Duck$,Aythya nyroca,^Aythya nyroca
Ring-necked Duck,^Ring-necked Duck$,Aythya collaris,^Aythya collaris
Tufted Duck,^Tufted Duck$,Aythya fuligula,^Aythya fuligula
Scaup,^(Greater )?Scaup,Aythya marila,^Aythya marila
Lesser Scaup,^Lesser Scaup$,Aythya affinis,^Aythya affinis
Steller's Eider,^Steller's Eider$,Polysticta stelleri,^Polysticta stelleri
King Eider,^King Eider$,Somateria spectabilis,^Somateria spectabilis
Eider,^(Common )?Eider,Somateria mollissima,^Somateria mollissima
Harlequin Duck,^Harlequin Duck$,Histrionicus histrionicus,^Histrionicus histrionicus
Surf Scoter,^Surf Scoter$,Melanitta perspicillata,^Melanitta perspicillata
Velvet Scoter,^Velvet Scoter$,Melanitta fusca,^Melanitta fusca
White-winged Scoter,^White-winged Scoter$,Melanitta deglandi,^Melanitta deglandi
Common Scoter,^Common Scoter$,Melanitta nigra,^Melanitta nigra
Black Scoter,^Black Scoter$,Melanitta americana,^Melanitta americana
Long-tailed Duck,^Long-tailed Duck$,Clangula hyemalis,^Clangula hyemalis
Bufflehead,^Bufflehead$,Bucephala albeola,^Bucephala albeola
Goldeneye,^(Common )?Goldeneye,Bucephala clangula,^Bucephala clangula
Barrow's Goldeneye,^Barrow's Goldeneye$,Bucephala islandica,^Bucephala islandica
Smew,^Smew$,Mergellus albellus,^Mergellus albellus
Hooded Merganser,^Hooded Merganser$,Lophodytes cucullatus,^Lophodytes cucullatus
Goosander,^(Goosander|Common Merganser),Mergus merganser,^Mergus merganser
Red-breasted Merganser,^Red-breasted Merganser$,Mergus serrator,^Mergus serrator
Ruddy Duck,^Ruddy Duck$,Oxyura jamaicensis,^Oxyura jamaicensis
Red Grouse,^Red Grouse$|^Willow Ptarmigan$,Lagopus lagopus,^Lagopus lagopus
Ptarmigan,^Ptarmigan$|^Rock Ptarmigan$,Lagopus muta,^Lagopus muta
Capercaillie,^Capercaillie$|^Western Capercaillie$,Tetrao urogallus,^Tetrao urogallus
Black Grouse,^Black Grouse$,Lyrurus tetrix,^Lyrurus tetrix
Grey Partridge,^Gr(e|a)y Partridge,Perdix perdix,^Perdix perdix
Golden Pheasant,^Golden Pheasant$,Chrysolophus pictus,^Chrysolophus pictus
Lady Amherst's Pheasant,^Lady Amherst's Pheasant$,Chrysolophus amherstiae,^Chrysolophus amherstiae
Pheasant,^(Common |Ring-necked )?Pheasant$,Phasianus colchicus,^Phasianus colchicus
Quail,^Quail$|^Common Quail$,Coturnix coturnix,^Coturnix coturnix
Red-legged Partridge,^Red-legged Partridge$,Alectoris rufa,^Alectoris rufa
Common Nighthawk,^Common Nighthawk$,Chordeiles minor,^Chordeiles minor
Red-necked Nightjar,^Red-necked Nightjar$,Caprimulgus ruficollis,^Caprimulgus ruficollis
Nightjar,^Nightjar$|^European Nightjar$,Caprimulgus europaeus,^Caprimulgus europaeus
Egyptian Nightjar,^Egyptian Nightjar$,Caprimulgus aegyptius,^Caprimulgus aegyptius
